"","Transcript","IU_number","start_time","end_time","speaker","IU","Anonymity","Linguistic_info","Quotatives","Me_possessive","There's","Social_info","ordered"
"3812","SydS_GOF_174_Cassia",1,"00:00:18.950","00:00:25.090","PNT: Cassia",".","","","","","","parents were strict, weren't allowed to go anywyhere, esp. on their own, so wagged a lot at school",1
"3813","SydS_GOF_174_Cassia",2,"00:00:42.120","00:00:43.820","PNT: Cassia",".","","","","","","started off in Hornsby (when she was born)",2
"3814","SydS_GOF_174_Cassia",3,"00:01:35.470","00:01:37.260","PNT: Cassia",".","","","","","","Her mum worked in a fish shop they had",3
"3815","SydS_GOF_174_Cassia",4,"00:01:47.410","00:01:50.430","PNT: Cassia",".","","","","","","Her parents' house was like a half-way house for people coming over from Greece",4
"3816","SydS_GOF_174_Cassia",5,"00:02:08.170","00:02:10.590","PNT: Cassia",".","","","","","","People in the house would look after them",5
"3817","SydS_GOF_174_Cassia",6,"00:02:46.480","00:02:51.280","PNT: Cassia",".","","","","","","must have spoken Greek to people staying in the house, becuase they didn't know English",6
"3818","SydS_GOF_174_Cassia",7,"00:04:10.850","00:04:12.660","PNT: Cassia",".","","","","","","Went to St Ives North primary school (was not an accelerated school at that time)",7
"551","SydS_GOF_174_Cassia",8,"00:04:34.965","00:04:35.660","INT: Erica","y[eah c]ool,","","","","","","",8
"3819","SydS_GOF_174_Cassia",9,"00:04:35.060","00:04:35.365","PNT: Cassia","[hm].","","","","","","",9
"552","SydS_GOF_174_Cassia",10,"00:04:35.660","00:04:36.090","INT: Erica","so --","","","","","","",10
"553","SydS_GOF_174_Cassia",11,"00:04:36.090","00:04:36.580","INT: Erica",".. you --","","","","","","",11
"554","SydS_GOF_174_Cassia",12,"00:04:36.580","00:04:38.015","INT: Erica","... went to primary school,","","","","","","",12
"555","SydS_GOF_174_Cassia",13,"00:04:38.015","00:04:39.325","INT: Erica","... and you were the oldest,","","","","","","",13
"556","SydS_GOF_174_Cassia",14,"00:04:39.325","00:04:40.080","INT: Erica",".. um,","","","","","","",14
"557","SydS_GOF_174_Cassia",15,"00:04:40.080","00:04:40.895","INT: Erica",".. did you --","","","","","","",15
"558","SydS_GOF_174_Cassia",16,"00:04:40.895","00:04:42.680","INT: Erica","but you were going to Greek school on the weekends.","","","","","","",16
"559","SydS_GOF_174_Cassia",17,"00:04:42.680","00:04:43.066","INT: Erica","too?","","","","","","",17
"3820","SydS_GOF_174_Cassia",18,"00:04:43.066","00:04:43.700","PNT: Cassia",".. o[h ye]s,","","","","","","",18
"560","SydS_GOF_174_Cassia",19,"00:04:43.336","00:04:43.635","INT: Erica","[or] --","","","","","","",19
"3821","SydS_GOF_174_Cassia",20,"00:04:43.700","00:04:44.000","PNT: Cassia","[2that2] --","","","","","","",20
"561","SydS_GOF_174_Cassia",21,"00:04:43.700","00:04:44.145","INT: Erica","[2ti2]ll --","","","","","","",21
"3822","SydS_GOF_174_Cassia",22,"00:04:44.145","00:04:45.095","PNT: Cassia","yeah that was when we --","","","","","","",22
"3823","SydS_GOF_174_Cassia",23,"00:04:45.095","00:04:45.468","PNT: Cassia","yeah.","","","","","","",23
"3824","SydS_GOF_174_Cassia",24,"00:04:45.468","00:04:46.625","PNT: Cassia",".. oh it was awful.","","","","","","Would go to Greek school on the weekends - was ""awful"" because all her friends were playing sport",24
"3825","SydS_GOF_174_Cassia",25,"00:04:46.625","00:04:47.128","PNT: Cassia",".. all the p- --","","","","","","",25
"3826","SydS_GOF_174_Cassia",26,"00:04:47.128","00:04:48.200","PNT: Cassia",".. % my friends --","","","","","","",26
"3827","SydS_GOF_174_Cassia",27,"00:04:48.200","00:04:49.805","PNT: Cassia","... were playing sport,","","","","","","",27
"3828","SydS_GOF_174_Cassia",28,"00:04:49.805","00:04:50.745","PNT: Cassia",".. [and we ha]d to --","","","","","","",28
"562","SydS_GOF_174_Cassia",29,"00:04:49.850","00:04:50.400","INT: Erica","[yeah].","","","","","","",29
"3829","SydS_GOF_174_Cassia",30,"00:04:50.745","00:04:52.280","PNT: Cassia","... go to Punchbowl.","Punchbowl","","","","","",30
"3830","SydS_GOF_174_Cassia",31,"00:04:52.280","00:04:53.785","PNT: Cassia","... for Greek [school,","","","","","","",31
"563","SydS_GOF_174_Cassia",32,"00:04:53.420","00:04:53.989","INT: Erica","[gosh.","","","","","","",32
"3831","SydS_GOF_174_Cassia",33,"00:04:53.785","00:04:55.530","PNT: Cassia","for three hou]rs on a Saturday morning,","","","","","","",33
